Stage Task ID,Requirement ID,Rule/Gate ID,ADR,PRD,Technical Design,API/Schema/Event,Data Migration,Code Subsystem,Permission,Audit Event,Test ID,CI/Runtime Evidence,Implementation Status,Verification Status,Verified Commit
M3-DEF-001,DEF-REQ-001,DEF-RULE-001,ADR-007,docs/prd/defect-and-test-issues.md,docs/technical/defect-ingestion.md,docs/specs/asyncapi/events.yaml,Finding Defect occurrence Evidence migration,finding adapters defect model,defect.triage,defect.detected,TC-DEF-001,finding normalization lifecycle report,implemented,passed,HEAD
M3-DSP-001,DEF-REQ-002,DEF-GATE-001,ADR-007,docs/prd/defect-and-test-issues.md,docs/technical/defect-ingestion.md,docs/specs/asyncapi/events.yaml,Fingerprint owner routing and reopen migration,fingerprint dedup triage dispatcher,defect.triage;work_item.create,defect.assigned,TC-DEF-002,dedup reopen and responsibility report,implemented,passed,HEAD
M3-AGT-001,AGT-REQ-001,AGT-RULE-001,ADR-007,docs/prd/agent-remediation.md,docs/technical/workflow-engine.md,docs/specs/mcp/tools.schema.json,Agent execution attempt checkpoint migration,remediation orchestrator context tools,work_item.submit,agent.execution.completed,TC-AGT-001,agent reproduction repair MR CI report,implemented,passed,HEAD
M3-BUD-001,WF-REQ-003,WF-GATE-003,ADR-007,docs/prd/agent-remediation.md,docs/technical/workflow-engine.md,docs/specs/schemas/command-profile.schema.json,Budget ledger reservation usage migration,budget ledger checkpoint retry stop controller,work_item.submit,agent.budget.consumed,TC-WF-003,pre-call budget and stop-condition report,implemented,passed,HEAD
M4-UI-001,UI-REQ-001,UI-RULE-001,docs/decisions/ADR-003-oidc-principal-rbac.md;docs/decisions/ADR-007-workflow-vs-agent.md,docs/prd/web-dashboard.md,docs/technical/api-spec.md,docs/specs/openapi/control-plane.yaml,UI operation and saved-view migration,web console event stream operation client,role dependent,admin.action.requested,TC-UI-001,role and eight-workflow UI E2E report,not_started,unverified,
M4-EVAL-001,EVAL-REQ-001,EVAL-RULE-001,ADR-007,docs/prd/agent-remediation.md,docs/testing/agent-evaluation-redteam.md,docs/specs/mcp/tools.schema.json,Eval dataset run score finding migration,eval harness dataset judge red-team,service eval executor,agent.eval.completed,TC-EVAL-001,golden repeated-trial pass-k report,not_started,unverified,
M4-OBS-001,OBS-REQ-001,OBS-RULE-001,ADR-002,docs/prd/nfr-milestones.md,docs/operations/observability-and-audit.md,docs/specs/schemas/event-envelope.schema.json,Audit trace export retention migration,logs metrics traces audit export,audit.read,audit.exported,TC-OBS-001,correlation redaction retention report,not_started,unverified,
M4-REL-001,REL-REQ-001,REL-RULE-001,ADR-002,docs/prd/nfr-milestones.md,docs/operations/reliability-and-recovery.md,docs/specs/schemas/config.schema.json,Backup WAL recovery metadata migration,SLO backup restore degradation control,platform.configure,recovery.completed,TC-REL-001,SLO and quarterly restore drill report,not_started,unverified,
M4-RBK-001,REL-REQ-002,REL-RULE-005,ADR-001,docs/prd/nfr-milestones.md,docs/operations/runbooks/runner-offline.md;docs/operations/runbooks/webhook-pipeline-failure.md;docs/operations/runbooks/database-backup-restore.md;docs/operations/runbooks/emergency-stop-credential-revoke.md,docs/specs/openapi/runner.yaml;docs/specs/asyncapi/events.yaml,Incident exercise and evidence migration,on-call runbook automation,security.emergency_stop;runner.revoke,incident.action.completed,TC-RBKRUN-001;TC-WHK-001;TC-DB-RESTORE-001;TC-SEC-STOP-001,four runbook exercise reports,not_started,unverified,
M4-PILOT-001,PILOT-REQ-001,PILOT-RULE-001,ADR-008,docs/prd/nfr-milestones.md,docs/testing/pilot-acceptance.md,docs/specs/openapi/control-plane.yaml,Project rollout flag and acceptance migration,pilot rollout telemetry acceptance,project.read,pilot.decision.recorded,TC-PILOT-001,2-5 repository shadow and human acceptance report,not_started,unverified,
